Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50.0,1000,3163,2530,996,47894.660156,0.020796
2,1000,0.2,0.2,50.0,1000,2952,2352,993,50192.761719,0.019784
3,1000,0.2,0.2,50.0,1000,2742,2195,998,49955.839844,0.019978
4,1000,0.2,0.2,50.0,1000,2848,2273,994,49123.277344,0.020235
5,1000,0.2,0.2,50.0,1000,2526,2041,999,50572.937500,0.019754
6,1000,0.2,0.2,50.0,1000,2627,2106,992,49763.449219,0.019934
7,1000,0.2,0.2,50.0,1000,2916,2337,998,50488.582031,0.019767
8,1000,0.2,0.2,50.0,1000,2643,2116,995,49371.703125,0.020153
9,1000,0.2,0.2,50.0,1000,2901,2274,999,49622.679688,0.020132
10,1000,0.2,0.2,50.0,1000,2619,2097,998,49693.531250,0.020083
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50.0,1000,12136,4075,866,48224.136719,0.017958
2,1000,0.2,0.2,50.0,1000,3176,2546,999,51088.371094,0.019554
3,1000,0.2,0.2,50.0,1000,2713,2164,999,50305.722656,0.019859
4,1000,0.2,0.2,50.0,1000,2936,2356,994,49641.410156,0.020024
5,1000,0.2,0.2,50.0,1000,2526,2041,999,50572.937500,0.019754
6,1000,0.2,0.2,50.0,1000,2785,2211,997,51402.589844,0.019396
7,1000,0.2,0.2,50.0,1000,3680,2959,999,49697.304688,0.020102
8,1000,0.2,0.2,50.0,1000,2552,2043,998,50175.492188,0.019890
9,1000,0.2,0.2,50.0,1000,2901,2274,999,49622.679688,0.020132
10,1000,0.2,0.2,50.0,1000,2619,2097,998,49693.531250,0.020083
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50.0,1000,16174,4004,866,47771.933594,0.018128
2,1000,0.2,0.2,50.0,1000,3176,2546,999,51088.371094,0.019554
3,1000,0.2,0.2,50.0,1000,2713,2164,999,50305.722656,0.019859
4,1000,0.2,0.2,50.0,1000,2936,2356,994,49641.410156,0.020024
5,1000,0.2,0.2,50.0,1000,2526,2041,999,50572.937500,0.019754
6,1000,0.2,0.2,50.0,1000,2785,2211,997,51402.589844,0.019396
7,1000,0.2,0.2,50.0,1000,3680,2959,999,49697.304688,0.020102
8,1000,0.2,0.2,50.0,1000,2552,2043,998,50175.492188,0.019890
9,1000,0.2,0.2,50.0,1000,2901,2274,999,49622.679688,0.020132
10,1000,0.2,0.2,50.0,1000,2619,2097,998,49693.531250,0.020083
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50.0,1000,17166,4018,866,47857.945312,0.018095
2,1000,0.2,0.2,50.0,1000,3176,2546,999,51088.371094,0.019554
3,1000,0.2,0.2,50.0,1000,2713,2164,999,50305.722656,0.019859
4,1000,0.2,0.2,50.0,1000,2936,2356,994,49641.410156,0.020024
5,1000,0.2,0.2,50.0,1000,2526,2041,999,50572.937500,0.019754
6,1000,0.2,0.2,50.0,1000,2785,2211,997,51402.589844,0.019396
7,1000,0.2,0.2,50.0,1000,3680,2959,999,49697.304688,0.020102
8,1000,0.2,0.2,50.0,1000,2552,2043,998,50175.492188,0.019890
9,1000,0.2,0.2,50.0,1000,2901,2274,999,49622.679688,0.020132
10,1000,0.2,0.2,50.0,1000,2619,2097,998,49693.531250,0.020083
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50.0,1000,17166,4018,866,47857.945312,0.018095
